Commit SHA,Author,Date,Commit Message
d2114809a0db70bc3f6ddafba8f542905d0f553d,Isao Kozakai,2021-09-10,[OE-1490] Change to specify pixels (#865)
b7a59116c32c205a04eafaa4daaa7c834176716a,Isao Kozakai,2021-09-10,[OE-1488] Add paymentDocument (#864)
701cefb2f392c333785f13ccb1167399527fb9bd,Isao Kozakai,2021-09-10,[OE-1490] Make the contents of the status items responsive (#863)
0e92db6c99c87079b1b50ded07a31e240f12d9b2,Svetlana Ivanova,2021-09-10,[OE-1763] As user I want to be able to compare dashboard statistics with previous period
4e32be4fa3be795c93d0faa4db52c0d487b7f7c6,Isao Kozakai,2021-09-09,Change for billing address instead of banking information (#862)
1dd80ce04d49d33059cb0fad7e871ec8d81830f4,Isao Kozakai,2021-09-09,[OE-1773] Make it show a blank instead of null for billing address (#861)
e9b693d5b4a1cfeebd0af308104c8bdcaafd9f23,Isao Kozakai,2021-09-09,[OE-1490] As vendor I want to declare that payment for PO invoice was not received (#860)
255859568a16895468c5ac741246b9a825563999,Isao Kozakai,2021-09-09,Fix the issue with the invoice upload dialog going blank (#859)
da50db66cf460164335bfee56c3ee7aa17a85c05,Viatcheslav Ivanov,2021-09-07,refactor: replace node-featch
6bca5170bb6621b759124c7e72ad925913125821,Isao Kozakai,2021-09-07,[OE-1492] As vendor I want to approve payment for PO invoice (#857)
b563601f6a21ecf1d07bb9add2181f8485987dd8,Viatcheslav Ivanov,2021-09-07,chore: update localization
8e18e4eb5498eaa9fa56a10b0d5d0e46002ec253,Viatcheslav Ivanov,2021-09-07,chore: update localization
148232f56f331b5888dbba261eadbc43ea9e2376,,2021-09-07,update dependencies (#858)
a207ae24f3f31127b44a3585f02abb08526b0384,Svetlana Ivanova,2021-09-04,[OE-1762] BUGS: Quality Analytics Page Bugs
cdb149147b8be0e3b4dd922646479da6e6ffc7e5,Isao Kozakai,2021-09-03,[OE-1484] As customer I want to provide a payment confirmation for PO invoice (#854)
828faf68e04393e448c755b967898e2ee65b119f,Svetlana Ivanova,2021-09-03,[OE-1741] Quality analytics and completion stats (#856)
73c10981ed6758b7738b8417465a7f19bb52155b,Svetlana Ivanova,2021-08-30,Merge branch 'main' of github.com:omnae/omnae-app
0a3018d63e92d287f2c9e9434b0ee0e167159120,Svetlana Ivanova,2021-08-30,chore: fix eslint
feea8c9f8cac4b3852b8f4939e3bf8f50c504221,Viatcheslav Ivanov,2021-08-30,update localization
f7a5e6a4178dea8da172ca46278652a18388b9c3,,2021-08-30,update dependencies (#855)
4b641cb413773f2dc913d64bc24b1fb7d07d0714,Svetlana Ivanova,2021-08-25,[OE-1738] Specify vendors or customer for Active RFQ Widget
d09e616763eafe93d7c16772c0034558548fd764,Isao Kozakai,2021-08-25,[OE-1486] Make invoiceNumber allow other input types than number (#853)
d7837894fa19de1b7df021040bc01252b6ce2b0b,Isao Kozakai,2021-08-25,[OE-1486] As vendor i want to upload and send PO invoices  (#852)
1db9bff1a1dcf864005b5c3d7a14cad78f351c6b,Viatcheslav Ivanov,2021-08-23,chore: update localization
4a8731965f44f41eb6e4373c65b9e6b5495a376f,,2021-08-23,update dependencies (#851)
d8dee211bf464e284ec1978ab02e1a76e4c7c34a,Viatcheslav Ivanov,2021-08-19,chore: add semi-automatic localization support
c050ee10fbbf59846a405c6edd153c6ebe2f20ab,Svetlana Ivanova,2021-08-19,[OE-1746] Fix multiple packing slips headers
03cac7246f4f7464a5baf3f17834783d49048e9f,Svetlana Ivanova,2021-08-19,[OE-1751] PO Completed list-> sorting by date is incorrect
07812a2f022b2828add8aba9472cf58073746b94,Svetlana Ivanova,2021-08-19,[OE-1750] Active PO/Completed PO list-> Pagination is not working/ not all POs are not visible
3e0eda787fe8dc4881e6608e76b794c43a5874e3,Svetlana Ivanova,2021-08-16,Merge branch 'main' of github.com:omnae/omnae-app
314779cacaccede8038924c1533d45101023bddd,Svetlana Ivanova,2021-08-16,[OE-1736] Active RFQ-> Responses from vendor not showing correctly on the RFQ Review Page
7e678ac6d5fadcde919bcb8f3ff2371b57b51523,Isao Kozakai,2021-08-16,[OE-1727] Remove the unnecessary condition for terms dialogs to appear (#850)
feafdbe103cd502b1fa87ea8f8399f88f46d9acc,Isao Kozakai,2021-08-16, [OE-1649] Remove unnecessary elements and css properties (#849)
8cb58627ac8a877a1b09742e5c8e48bb042b3cef,Isao Kozakai,2021-08-16, [OE-1674] Top navbar height is larger than it should be and breaks the rest of the page (#848)
b62e2f2d8ac5fb3df6422cddca3b0e50e7932a55,,2021-08-16,update dependencies (#847)
fe6cbbc3b57df9ff3afd47c25f257f36a9bf0659,Isao Kozakai,2021-08-16,[OE-1649] Make the pages fit in the smaller screen (#846)
145136360b0f9b30780990c37d978dac2bd263a8,Svetlana Ivanova,2021-08-14,[OE-1730] As user I want to see active NCRs widget on Dashboard
97063a5ed3da0dba5aeddf514af841c075ab1596,Svetlana Ivanova,2021-08-13,[OE-1729] As user I want to see active RFQs widget on Dashboard
98bd03ba562e3ea92baa89d8be85eea516686779,Viatcheslav Ivanov,2021-08-13,[OE-1735] BUG: Missing front end messages after QBO redirects back to Omnaes integration setting page
66c1ccc17f06a81a64512d1c090c897c6589aaee,Svetlana Ivanova,2021-08-12,[OE-1730] As user I want to see active NCRs widget on Dashboard
4de68a1061b543963be5cca0207a0e80adb91be4,Isao Kozakai,2021-08-12,[OE-1487] As vendor I want to see PO invoice details (#844)
c84e2a3370b56e12b996376102eb3af7fc35042c,Svetlana Ivanova,2021-08-12,[OE-1729] As user I want to see active RFQs widget on Dashboard
ef2420c941d3a6ee5895c86f476b665da3427f4e,Viatcheslav Ivanov,2021-08-12,[OE-1360] Fix redirect url
e32be36e9f4ddad7a872ad9a14822e963a2291c0,Svetlana Ivanova,2021-08-11,"[OE-1657, OE-1706] Dashboard production runs and shipments (#845)"
10a681a48af70f46a56e025cf18848961decd5c6,Svetlana Ivanova,2021-08-11,[OE-1724] After Award RFQ user should be directed to the product details page
a0fe02843af4529e0081a54872bf302cd94643bc,Viatcheslav Ivanov,2021-08-10,fix: quickbox redirect in staging is pointing to localhost
